,text
3091,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3092,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3093,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3094,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3095,"@sa_vadorr يالله ماهم راضين يخلو المرأة بحالها وراها فين ماراحو اعوذ بالله منهم 
ايش ذاا جحيم مو حياة https://t.co/EXYZrDwUs3"
3096,@sa_vadorr الله يحفظك موفقه إن شاء الله
3097,@sa_vadorr الوكاد ان هالصوره تروع 💔
3098,"@sa_vadorr الله يستر على بنات المسلمين في مشارق الارض ومغاربها ويهديك ويصبر اهلك على فقدك 
من تصيري ام بتحسي بالحرجه اللي سببتيها لهم"
3099,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3100,"@sa_vadorr عليك توثيق أي شيء يدعو للريبة و الشك و إرساله أول بأول لشخص تثقين به. 

نتمنى لك السلامة و الأمان🌹
كوني بخير🙏"
3101,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3102,"@sa_vadorr @wafa_alkhalifi لا نعرف ظروفك المعيشية مع عائلتك..ولا نوع أو مستوى التعنيف الذي قد تكونين تعرضت له ولا ننكر أن ولي الأمر في بعض العائلات غير مؤهل للولاية ولا يستحقها..لذا وجدت جهات رسمية اجتماعية تقوم بالتحقيق في هذه الحالات وإن كنا نأمل منها دور أكبر
لكن الانتقال الكبير لخارج الوطن ليس الحل"
3103,@sa_vadorr اتمنى لج الأمان والحريه❤️
3104,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3105,RT @sa_vadorr: @wafa_alkhalifi طبعا لم اصدم ان مثلك يعمل في قطر، فنحن مغناطيس لنفس العينات التي لا تعي شيء في حقوق الانسان، وفقط تلهث خلف ا…
3106,@sa_vadorr الله يعين اهل قطر على الي مثلك
3107,@sa_vadorr حرام انتي تتعنفين وعزمي يحك كرشته بالدوحة
3108,@sa_vadorr بصراحه انا المعنف مو انتي كل هذا الجمال وتتكلمي عن التعنيف
3109,@sa_vadorr على اساس الناس ماعندهم سالفة غيرج، قبل ماتحطين صورتج وهم يلاحقونج ليتج فكرتي قبل ماتسوين هالشي شبينفعج الشو اللي سويتيه
3110,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3111,@sa_vadorr من يملك المال يملك الشريعة
3112,@sa_vadorr الدنيا مب سهله مثل ماتتوقعين
3113,@sa_vadorr ليه اغلب النسويات بحلقوا شعرهم؟ 🙄 الموضوع عندو دلالات نفسية بلا شك
3114,"@sa_vadorr عزيزتي الشابة "" الجاذبية عيونج!!!!!!
خل نيوتن يأكل تبن 🤐
Too much love"
3115,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3116,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3117,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3118,@sa_vadorr حسبي الله عليس الله يكون في عون اهلس سود الله وجهس .. انتي منتي بقطريه كذبتي والقصه ملفقه على بنات قطر
3119,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3120,@sa_vadorr Incredibly brave
3121,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
3122,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3123,@sa_vadorr بعض الرجال منافقين وانانيين، هم يسوقون ويروحون وايون ويضبطون وكل شي على كيفهم ومب كفو حد يقولهم شي لانهم يبون حريتهم، لكن اذا المراه ارادت نفس الشي شافوها على انها قذرة... نفاق وتناقض
3124,@sa_vadorr @i8lllllp ترا عادي عند الغرب اذا البنت تحررت تتفصخ و تمارس الجنس مع من هب و دب و يمكن تاخذه شغله لها، قولي تبين تطبقين حرية الغرب عندنا، و لا صلاة ولا صوم ولا دين، انا اصلاً ليش ارد  عليج؟؟؟  ما عندي سالفه😅
3125,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3126,@sa_vadorr وتبين الله يوفقج  لا والله وبالله  وان شاء الله
3127,@sa_vadorr افتقدي  لمه الأهل و الوطن افتقدي دعاء الوالدين وصله الرحم  راجعي نفسك
3128,@sa_vadorr دوله قطر 🇶🇦للكرام  لأهلها الشرفاء المحافظين
3129,@sa_vadorr @matar3ali
3130,@sa_vadorr ونصيحة اخيرة لاتلتفتين لأي شخص يحاول ان يكسرك سوا ف تويتر او غيرة
3131,@sa_vadorr انتي الله يهداج مايحتاج تسافرين وتتبهدلين  بنجيبلك  كل السفارات لين عندج واختارت اي دوله تبين تروحيلها  ... اخ لولا المقاطعة بس
3132,@sa_vadorr ولاكن الهروب من الواقع يعتبر ضعف وانكسار قوة المراة ف ضعفها وانتصارها امام كل من يحاول ان يكسرها اهنيك ع قوتك ومادامك اتخذتي القرار كوني صلبه لاتنكسرين ولا تخافين والله بياخذ حقك باذ الله
3133,@sa_vadorr المشكلة ان مازال الناس في مجتمعنا ينظرون للامور من الخارج فقط، بنت شردت من امها فهي غلطانه، مايفكرون ان ممكن امها فيها عقد نفسية وفيها مشاكل نفسية خطيرة،،، قد تحرم اعيالها قد تقتلهم وقد وقد وقد ... مازال عندنا تخلف من هالنواحي
3134,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3135,@sa_vadorr الله يحفظج ويحميج من كل سوء 💕
3136,@sa_vadorr عزيزتي كثيرمن النساء يتعرضون للقمع والتحرش وكم من امراة قتلت بسبب عصبية الرجل وكم من امراة تعيش الظروف القاسية التي جلبنا عليها من حق الرجل ان يفعل مايشاء وعذرهم عيبه ع كتفة وكان خالقه يختلف عن خالق المراة وضع القوانين والاحكام بناء ع هواة وماورثه من ابيه ونسااو تناسى ان هناك رب
3137,@sa_vadorr دلوعه ماما وبابا، ،،،!!!!
3138,@sa_vadorr مصدقه نفسك بزياده محد درى عنك ولا انتي ذبحتك حلال حتى لو كنتي بآخر الدنيا ترا كلها كم باوند وبالمنشار نفس سالفة الداشر 🙈
3139,RT @sa_vadorr: عندما تظهر فتاة من عائلة حاكمة (مهما كانت الدولة)لا نرى اي نفس تعترض على عدم ارتدائهن للحجاب، ولكن نفس الاشخاص تجدهم مستعدين…
3140,@sa_vadorr لك الحريه الامنه ي رب
3141,@sa_vadorr هذي أكبر غلطه سويتيها في حياتك راح تندمين عليها طول عمرك! أحد يهد بلاده و أهله شلون طاوعك قلبك تتركين أمك ، اللي قصوا عليك وفروا رأسك ماراح ينفعونك أنتي غلطانه
3142,@sa_vadorr حافظج ربي من كل شر :(
3143,@sa_vadorr @lovhum كثير لاجئات طلعوا بهويتهم ماحد طاردهم ' قطر بلد الرعب
3144,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3145,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3146,@sa_vadorr وجه القرد
3147,@sa_vadorr هذا ليس منك إنما من الأجندة التي فُرضت عليك وجعلتك اداة لهم للقيام بهذه الأفعال والأقوال ، مسكينة انتي تحتاجين لمن يخلصك من هذه الأجندات الأجنبية التي استغلتك واستغلت الكثيرات للسير في هذا الطريق
3148,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3149,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3150,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3151,@sa_vadorr بس ابي اعرف مسكرة الرموش من وين ؟من احدى مولات قطر قبل ما تغادرين البلاد ؟.
3152,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3153,@sa_vadorr ربي يحميك ويبعدهم عنك
3154,@sa_vadorr @Bassam_13 بسام ععايد التغريده ليه عشانها قطريه ؟؟ شوف القطريات منحاشين من ظلم حكومتهم ولا ايش بالضبط ؟
3155,@sa_vadorr خلها تولي لا تسمعون كلامها الحمد الله أمورنا طيبة و عايشين احسن من غيرنا مليون مرة الشيطان قص عليها بعدين بتعرف لين خلص فلوسها و ما عندها تدفع حق الضرايب الحمدالله احنا بخير
3156,RT @sa_vadorr: عندما تظهر فتاة من عائلة حاكمة (مهما كانت الدولة)لا نرى اي نفس تعترض على عدم ارتدائهن للحجاب، ولكن نفس الاشخاص تجدهم مستعدين…
3157,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3158,@sa_vadorr الله يحفظك ويكتبلك الحياة اللي تتمنين تعيشينها انتي قويه وبتنتصرين بالنهايه ♥️
3159,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3160,@sa_vadorr الحمدلله افتكينا منك لا ترجعين اقعدي عندك
3161,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3162,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3163,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3164,@sa_vadorr لاترجعين قطر مب محتاجتج اصلا
3165,@sa_vadorr محسستني ان قطر بتنتهي بدونها 🤣 بالعكس وفرتي على الدولة بدال ماتصرف على اشكالج الوصخه تصرف على ناس ترفع اسم قطر في الاشياء الي تبيض الويه وترفع الراس اما انتي في الطقاق باللي مايحفظج انقلعي
3166,@sa_vadorr هذي بلد الحريه الي اخترتيها خل تنفعك صدقيني حتى لو وصلتي للحرية الي ادورينها مراح تتمتعين فيها تعرفين ليش لانه تركتي وراك ام مكسوره ودمعتها على خدها وانتي عارفه ايش عقوق الوالدين يا مثقفه تمتعي في هروبك بس بيجيك يوم بتقولين وين امي وقتها لاحضن ام يضمك ولاحضن وطن يعزك 💔
3167,@sa_vadorr #ندعم_نساء_قطر_ضد_التعنيف
3168,@sa_vadorr ي محور الكون انتي😂😂 وربي محد درا عنج شتبي فيج السفاره يمه فاضين حق سخافتج هم !
3169,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3170,RT @sa_vadorr: طبعا هناك احتفالية من بعض الحسابات الخليجية بسبب قضيتي، وكل ذلك رغبة في التحرش السياسي بقطر، وهو نفس السلوك الذي تتبعه الجزي…
3171,@sa_vadorr عندي مايشبه اليقين  ان وراك احد ومن بلدك لهدف معين ومن حكومتك بعد انتي مو لحالك معك اشخاص من مختلف الجنسيات وبعضهم مشهور بالمطالبة بالحريات الخ من ضمن لعبة جديدة 😁مجرد تحليل وشكرا
3172,@sa_vadorr بدون افلام قولي ابي اصيع واسربت ولا ليش بدون حجاب🖕🏿
3173,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3174,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3175,@sa_vadorr الله يحفظج
3176,@sa_vadorr افا يالسمية
3177,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3178,RT @sa_vadorr: عندما تظهر فتاة من عائلة حاكمة (مهما كانت الدولة)لا نرى اي نفس تعترض على عدم ارتدائهن للحجاب، ولكن نفس الاشخاص تجدهم مستعدين…
3179,@sa_vadorr @jawaher_alseif فعلا كل اللي يدعين انهم معنفات هم فقط سايرين على نهج واحد وكانهم خريجين مدرسه واحده خلع للحجاب قص للشعر لبس الهيلق اللي برى وانا بمثل المعنفات انتي اول اعرفي تمثلين نفسك الله يصلحك توك بزر لا تملكين من الامر شي والله يصبر اهلك
3180,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3181,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3182,@sa_vadorr الله يحفظج ويستر عليج💜
3183,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3184,@sa_vadorr احرس اسود
3185,RT @sa_vadorr: @wafa_alkhalifi طبعا لم اصدم ان مثلك يعمل في قطر، فنحن مغناطيس لنفس العينات التي لا تعي شيء في حقوق الانسان، وفقط تلهث خلف ا…
3186,"@sa_vadorr انتي ناقصك التربية بس 
لو كنتي اخذتي بالجزمة اكيد بتكوني صالحة"
3187,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3188,@sa_vadorr تاكدي ان الي يعززون لك مرتاحين في دوحه ومايتمنون يكونون مكانك فماعليج منهم وعلى فكرة يا مطبلين ترى اثم البنت في رقبتكم الله يهديك تحملي بعمرك
3189,@sa_vadorr @jawaher_alseif الله يصلحك ويردك لاهلك مادري من زرع في عقولكم ان التربيه تعنيف وان حشمه البنت وادبها وحياها والتزامها بدينها تخلف ورجعيه ما راح تندمون الان اذا كبرتو عرفتو ان الغرب اشتغل عليكم سنين لتوصلون لذا الحال بس بيكون لا وقت للندم
3190,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3191,@sa_vadorr استغفروا الله العظيم من شري الشيطان الرجيم وزين لهم الشيطان أعمالهم فصدهم عن السبيل
3192,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3193,@sa_vadorr القحطاني من الجنوب حول عسير وابها
3194,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3195,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3196,@sa_vadorr @Ynorsal7400dia سؤال....نفسى اعرف هو ليه شعب الجزيرة القطرية شايف عيل بشخه مضيع فلوس بلده ف الهواء ومحدش بيقول غير أطال الله.....
3197,"@sa_vadorr عن اي حريه تتحدثي نتمنى 
شوهتي سمعه اهلك وسمعه بلدك"
3198,"@sa_vadorr لييه ماتحدد الدولة ..ليه خايف
منو اللي يفرض على شعبه الحجاب 
ماظنتي الكويت ولا المغرب ولا الاردن ولا تركيا  ولا بريطانيا"
3199,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3200,RT @sa_vadorr: عندما تظهر فتاة من عائلة حاكمة (مهما كانت الدولة)لا نرى اي نفس تعترض على عدم ارتدائهن للحجاب، ولكن نفس الاشخاص تجدهم مستعدين…
3201,RT @sa_vadorr: عندما تظهر فتاة من عائلة حاكمة (مهما كانت الدولة)لا نرى اي نفس تعترض على عدم ارتدائهن للحجاب، ولكن نفس الاشخاص تجدهم مستعدين…
3202,@sa_vadorr استودعك الله
3203,@sa_vadorr @bnasers1 اقول والله ماحد طاق لك خبر عيب الكذب والي يبي يسوي شئ ويجبوا خبرك مارح يفعلوووون أشياء صبيانية تلفت لهم الانظاااار وكلامك هذا خطر عليك ممكن احد يصطاد في الماء العكرة  وتتورط فيها سفارتك بلا غباااء زايد
3204,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3205,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3206,@sa_vadorr حبيبتي اتمنى لك الطمأنينة و راحة البال ❤️ قلوبنا معاك
3207,@sa_vadorr خبزن خبزتيه يا رفله اكليه
3208,RT @sa_vadorr: يوم ميلادي الحقيقي، اليوم الذي استطعت فيه ان استعيد انسانيتي، ان اعيش وفق لمبادئي لا لأعرافهم لا لقوانين اجدادهم الموتى، الي…
3209,@sa_vadorr الله يسهل مورك ويحفظك من كل شر
3210,"@sa_vadorr الفرق هنا في ""الرسالة"" 
غير محجبة ممكن تفيد المجتمع وغير محجبة أخرى تنشر عقدها النفسيه مع عائلتها وتحمل دولتها الذنب!"
3211,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3212,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3213,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3214,@sa_vadorr والمصيبه اذا رجعت رجعت للتعذيب حتى الموت  اللهم يألف بين قلوبكم
3215,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3216,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3217,RT @sa_vadorr: يوم كنت ابدي رأيي وأنا في قطر كانوا يقولون اذا مب عاجبتج قطر اطلعي منها، ويوم طلعت قالوا دام طلعتي مالج حق تتكلمين عنها، مبد…
3218,@sa_vadorr كلي زققق بس مب ناقصين دراما
3219,@sa_vadorr اعتزلي تويتر نهائي. ظهورك يسبب مصيبه لإهل وجماعتك
3220,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3221,@sa_vadorr الله يحفظك ❤
3222,@sa_vadorr عين الله ترعاك
3223,RT @sa_vadorr: طبعا عقلية قطيع الغنم لا تتغير ابدا، ليس لهم رأي او توجه واضح ونابع من قناعة، ومع ذلك يريدون قمع اي صوت اخر ومناداة الشرطة و…
3224,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3225,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3226,@sa_vadorr عيب عليج اللي تسوينه اذا انا مواليد م اسوي في بلادي كذا فما بالك بالبلاد اللي ضمتني مهما كان الانسان م ينكر العشره والجميل اتمنى تفهمين كلامي
3227,"@sa_vadorr انتي وفرتس ذي محد فاضي يلاحقس خلاص اعترفي انس بدون السند والأهل مافي أمان لما كنتي مع اهلس قلتي قمع وحريه و الحين وقت الصدق قلتي يهددون لو انتي اختي اسم الله على خواتي بنتبرا من كل شي يربطنا فيس 
لا تعليق ..

الله الهادي"
3228,@sa_vadorr الحلال بين والحرام بين
3229,@sa_vadorr يمكن معجبين!
3230,@sa_vadorr دوله ملتزمه بمعاهدات دوليه ومنظمات دوليه ما راح يسئو الى سمعتهم عشانك
3231,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3232,@sa_vadorr هل انت اول قطرية تهرب من قطر ؟؟
3233,@sa_vadorr @JassimAl_Ali عدلي حواجبك واحد ناقز عن الثاني 😌
3234,@sa_vadorr الدوله مرتبطه معاهدات ومنظمات دوليه ما راح يسئو الى سمعتخم عشانك انت كفا ضحك على عقول الناس
3235,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3236,RT @sa_vadorr: طبعا هناك احتفالية من بعض الحسابات الخليجية بسبب قضيتي، وكل ذلك رغبة في التحرش السياسي بقطر، وهو نفس السلوك الذي تتبعه الجزي…
3237,@sa_vadorr بالله عليك دوله مثل قطر فاظين لك انت خفي علينا يا توم كروز 🤦‍♂️😂
3238,@sa_vadorr تكلمي عن تجربتج والظروف الي فرضتها عليج اسرتج المجتمع شكو والوطن شكو والدين شكوتدخلينه بكل هذا؟طول عمرنا معززين مكرمين ببيوت اهلنا والوطن والدين عزونا ليش تنقلون صورةسيئه عن الدين؟ليش تحسسون العالم ان اوطاننا تقمعنا؟ انتي وغيرج فاهمين الحريه والتحرر غلط افكارج مشوشه راجعي مبادئج
3239,@sa_vadorr والله فينا غصه عليج وعلى هلج 💔💔
3240,RT @sa_vadorr: اما الان فأستطيع ان اكون صوت للواتي يردن ان يشاركن ما تعرضوا له من تحييز جنسي من قبل القوانين التي تتمايز بناء على جنس الموا…
3241,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3242,RT @sa_vadorr: عندما تظهر فتاة من عائلة حاكمة (مهما كانت الدولة)لا نرى اي نفس تعترض على عدم ارتدائهن للحجاب، ولكن نفس الاشخاص تجدهم مستعدين…
3243,@sa_vadorr ربنا معاكي في كفاحك آنتي role model لينا كلنا.. ربنا يحفظك
3244,@sa_vadorr انتبهي على نفسك و اذا صار و غيرتي مكان سكنك او المدينة او اي كان ما تعلمي احد من العائلة او حتى اقرب الناس لك...💕
3245,@sa_vadorr Be careful &amp; stay safe girl ❤️ our hearts with you
3246,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
3247,@sa_vadorr @snsa1978 هذي الحريه اللي كنتي تدورينها
3248,@sa_vadorr الله يحفظك ويحميك. قلوبنا معك.
3249,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3250,@sa_vadorr فين قناة الخنزيرة
3251,@sa_vadorr حتى بقطر عندكم حقوقيات طيب ليش حاطه صورتك بالتغريده يعني تثبتي لنا وش بالضبط؟
3252,@sa_vadorr كم السهره ف الدوله اللي رحتي لها
3253,@sa_vadorr 🤣🤣🤣🤣🤣🤣 وايد عايشه الدور ولحد درا عنج
3254,@sa_vadorr الله يستر عليج ويحفظج ومن يتقي الله يجعل له مخرجا ويرزقه من حيث لايحتسب
3255,@sa_vadorr انا استغرب من الاهل وبهالوقت يلاحقون بنتهم اذا هربت اعتبروها ماتت وخلاص وحده ماتبغاكم ليش تطاردونها!! والدوله ليش تبحث وراك هاذي مسائله عائليه حتى بهوشات العوايل يتدخلون وش ذا اللقافه
3256,@sa_vadorr الله يحفظج ويستر عليج 💔
3257,@sa_vadorr وأين الحرية وانتي مطارده وما هيه الحريه بعيد عن الاهل والاوطان بعيد عن الام والاخوان من هانت عليه امه ووطنة قد ضيع نفسه
3258,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
3259,@sa_vadorr ايه زين براحتك  بس ودي اعرف وش ذنب الحجاب ياهوا مسكين هالحجاب ذا
3260,@sa_vadorr الله يحفطج
3261,RT @sa_vadorr: وضعي غير امن ابدا، هناك من يريد الوصول لمكاني سواء السفارة او الاهل، وهذا ما اخبرتني اياه الشرطة هنا! على كل حال ان اختفيت ل…
